                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4982,                 2.4599,                 1.4808,                0.46579,                0.42316,                0.43351,                0.24857,                 1.3523,                 2.7503,                 1.3488,             0.00065608,             0.00065608,             0.00065608
                      2,                  1.462,                 1.9728,                 1.4533,                0.29689,                0.38526,                0.19905,                 0.0856,                 1.8282,                 2.6696,                 1.7587,              0.0013097,              0.0013097,              0.0013097
                      3,                 1.5566,                 1.9067,                 1.5136,                0.09939,                0.17368,                0.04459,                0.01542,                 2.5583,                 5.4432,                 2.6566,                0.00195,                0.00195,                0.00195
                      4,                 1.5246,                 1.7456,                 1.5008,                0.50294,                0.48947,                0.50035,                0.26391,                 1.6471,                 2.6947,                 1.7644,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4892,                 1.6411,                 1.5174,                0.57358,                0.57789,                 0.5956,                0.33309,                 1.4574,                 1.8742,                 1.4996,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4802,                 1.5199,                 1.4851,                0.47109,                0.46842,                  0.368,                0.18195,                 1.5828,                 2.8954,                 1.7126,               0.001901,               0.001901,               0.001901
                      7,                 1.4465,                 1.5512,                 1.4931,                0.69194,                0.57217,                0.66055,                0.34597,                  1.581,                 1.5257,                  1.627,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4409,                 1.4296,                 1.4588,                0.58585,                0.61263,                0.55644,                0.31356,                 1.4153,                 1.6036,                 1.5007,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.403,                 1.3781,                 1.4282,                0.72535,                0.66632,                0.72935,                0.41747,                 1.3703,                 1.6381,                 1.4388,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4157,                 1.3752,                 1.4314,                0.80119,                0.67446,                0.78437,                0.48785,                 1.2516,                 1.2658,                 1.3683,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3829,                  1.322,                 1.4083,                 0.7623,                0.69368,                0.77404,                0.47432,                 1.3018,                 1.2276,                 1.4148,               0.001802,               0.001802,               0.001802
                     12,                 1.3343,                 1.3094,                    1.4,                0.73226,                0.72835,                0.78585,                 0.4887,                 1.2479,                 1.2259,                 1.3923,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3166,                 1.2433,                 1.3614,                0.69213,                 0.7407,                0.78299,                0.50884,                 1.1664,                 1.2514,                 1.2984,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3345,                 1.2551,                 1.3791,                 0.7138,                 0.6852,                 0.7617,                0.47889,                 1.2109,                 1.2724,                 1.3481,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3053,                 1.2303,                 1.3827,                0.79517,                0.69474,                0.78318,                0.49821,                  1.256,                 1.2372,                 1.3932,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2969,                 1.1832,                 1.3502,                0.68091,                0.65474,                0.69722,                0.40694,                 1.3425,                 1.3976,                  1.407,               0.001703,               0.001703,               0.001703
                     17,                 1.2602,                 1.1717,                 1.3544,                0.70523,                0.67158,                0.74972,                0.51437,                 1.1498,                 1.2794,                 1.2737,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2606,                 1.1337,                 1.3348,                0.73339,                0.74421,                0.78955,                0.52433,                 1.1718,                 1.1533,                 1.3133,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2518,                 1.1248,                 1.3279,                0.78925,                0.69158,                0.77012,                0.50076,                 1.1502,                 1.2184,                 1.2992,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2654,                  1.168,                 1.3675,                0.61045,                0.69158,                  0.664,                0.40082,                  1.331,                 1.6261,                 1.4263,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2152,                  1.109,                 1.2994,                0.81157,                0.73899,                0.82981,                0.53724,                 1.1937,                 1.0575,                 1.3174,               0.001604,               0.001604,               0.001604
                     22,                 1.2446,                 1.0974,                 1.3138,                0.76954,                0.71704,                  0.796,                0.51856,                  1.201,                 1.1261,                 1.3368,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2183,                 1.0793,                   1.32,                 0.7815,                0.71533,                0.80629,                0.50844,                 1.2619,                 1.1094,                 1.3725,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1839,                 1.0662,                 1.2864,                0.73305,                0.77468,                0.77578,                0.49881,                 1.1943,                 1.1812,                 1.3034,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1618,                 1.0347,                 1.2731,                0.78646,                0.76211,                0.82741,                0.55862,                 1.1161,                 1.0959,                 1.2749,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.159,                 1.0186,                 1.2603,                0.77372,                0.73474,                0.82091,                0.54935,                 1.1061,                 1.0625,                  1.255,               0.001505,               0.001505,               0.001505
                     27,                 1.1548,                 1.0138,                 1.2689,                0.77276,                0.79467,                0.84794,                0.56576,                  1.124,                0.96683,                 1.2503,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1682,                 1.0115,                 1.2799,                0.79369,                0.75053,                0.83219,                0.54762,                  1.114,                 0.9848,                 1.2732,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1386,                0.96247,                 1.2461,                0.81976,                0.78036,                0.85202,                0.57473,                 1.0972,                0.92421,                 1.2727,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1342,                0.97691,                 1.2472,                 0.7867,                0.72599,                0.80134,                0.51394,                 1.2415,                 1.0266,                 1.3746,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1397,                0.93785,                 1.2355,                 0.8299,                0.72421,                0.83333,                0.57099,                   1.05,                0.95119,                 1.2192,               0.001406,               0.001406,               0.001406
                     32,                 1.1435,                0.98293,                 1.2575,                0.85683,                0.74338,                0.84727,                0.55634,                 1.1588,                0.94738,                 1.2919,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1173,                0.95666,                 1.2381,                0.70139,                0.76421,                0.77879,                0.52844,                 1.1003,                 1.1329,                 1.2377,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1167,                0.93728,                 1.2402,                0.77142,                0.76737,                 0.8333,                0.56394,                 1.1038,                 1.0026,                 1.2174,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1229,                0.93407,                 1.2486,                0.80574,                0.78211,                0.83892,                0.52917,                 1.1925,                 0.9541,                  1.327,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1067,                0.92323,                 1.2499,                0.86362,                0.71325,                0.83487,                0.58241,                 1.0661,                 1.0165,                 1.2189,               0.001307,               0.001307,               0.001307
                     37,                 1.1384,                0.95801,                  1.252,                0.80677,                 0.7603,                0.85449,                0.58893,                 1.0874,                0.94041,                 1.2257,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.103,                0.92498,                 1.2201,                0.70024,                0.78316,                0.80545,                0.54306,                 1.1002,                 1.0566,                 1.2355,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0847,                0.89377,                 1.2257,                0.80973,                0.71895,                0.82213,                0.56757,                 1.0966,                 1.0061,                 1.2531,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0839,                0.91182,                 1.2247,                0.73446,                0.78842,                0.84152,                0.58436,                 1.0218,                0.98799,                 1.2124,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0836,                0.86793,                 1.2215,                0.80733,                0.75422,                0.83378,                0.55153,                 1.1619,                 1.0222,                 1.3265,               0.001208,               0.001208,               0.001208
                     42,                 1.0849,                0.89191,                 1.2311,                0.73833,                0.79304,                0.83222,                0.58022,                 1.0521,                  1.019,                 1.2463,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0542,                0.86465,                 1.1939,                0.80314,                0.71474,                0.81086,                0.55582,                 1.1311,                 1.0525,                 1.2826,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0364,                0.84478,                 1.1841,                0.79322,                0.77527,                0.84791,                0.54587,                 1.1321,                0.98063,                 1.2951,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0613,                0.85397,                 1.2015,                0.79291,                0.76173,                0.84778,                0.59733,                 1.0267,                0.91151,                 1.2079,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0552,                0.86546,                 1.1927,                0.69961,                   0.78,                0.73453,                0.48207,                 1.1588,                  1.211,                 1.2988,               0.001109,               0.001109,               0.001109
                     47,                 1.0396,                0.84016,                 1.1851,                0.86729,                0.72737,                0.85708,                0.58571,                 1.0888,                0.90481,                  1.245,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0528,                0.85197,                 1.2133,                0.79431,                0.75606,                 0.8296,                0.55262,                 1.1024,                 1.0132,                 1.2386,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.031,                0.83479,                 1.1879,                0.85643,                0.74947,                0.85233,                0.58537,                 1.0631,                0.91737,                 1.2145,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0548,                0.83034,                 1.1955,                0.87707,                0.78104,                0.87002,                0.61096,                 1.0406,                0.88601,                 1.1933,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0145,                0.81309,                 1.1691,                0.84373,                0.80211,                0.86776,                0.59877,                 1.0295,                0.86292,                 1.2128,                0.00101,                0.00101,                0.00101
                     52,                0.99837,                0.79064,                  1.161,                 0.8304,                0.79579,                0.86194,                0.59649,                 1.0348,                0.89191,                 1.1961,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99212,                0.77176,                 1.1733,                0.84641,                   0.76,                0.86114,                0.59927,                 1.0318,                0.93731,                 1.2094,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0184,                0.80404,                 1.1868,                0.83689,                0.79394,                0.87433,                0.61171,                 1.0314,                0.84574,                 1.2015,              0.0009506,              0.0009506,              0.0009506
                     55,                0.98234,                0.78478,                 1.1579,                0.72186,                0.81263,                0.80757,                0.55423,                 1.0745,                 1.0913,                 1.2511,              0.0009308,              0.0009308,              0.0009308
                     56,                0.97096,                0.76554,                 1.1425,                0.78039,                0.78554,                0.85318,                0.61144,                 1.0116,                0.90397,                 1.2035,               0.000911,               0.000911,               0.000911
                     57,                0.98769,                0.76288,                 1.1634,                0.84568,                0.77874,                0.86007,                0.61039,                 1.0209,                 0.9199,                 1.2007,              0.0008912,              0.0008912,              0.0008912
                     58,                0.99596,                 0.7717,                 1.1692,                0.86921,                0.75553,                0.84622,                0.59654,                 1.0567,                0.96192,                 1.2377,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97221,                0.77205,                 1.1516,                0.84093,                0.77368,                0.86916,                0.61963,                 1.0045,                0.86894,                 1.1885,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97431,                0.76356,                 1.1561,                0.87078,                0.76612,                0.86173,                 0.6135,                 1.0198,                0.90741,                 1.2029,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9821,                0.76513,                 1.1618,                0.82544,                0.77789,                0.86075,                0.61447,                 1.0143,                0.90797,                 1.1941,               0.000812,               0.000812,               0.000812
                     62,                0.95353,                0.73365,                 1.1407,                0.78056,                0.79474,                0.84796,                0.60271,                 1.0349,                 0.9587,                 1.2341,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96097,                 0.7274,                 1.1354,                0.87264,                0.73263,                0.84582,                 0.5717,                 1.1015,                0.92481,                 1.2443,              0.0007724,              0.0007724,              0.0007724
                     64,                0.97914,                0.72603,                 1.1671,                0.72757,                0.77872,                0.81683,                0.57618,                 1.0571,                 1.0422,                 1.2372,              0.0007526,              0.0007526,              0.0007526
                     65,                0.92735,                0.70935,                 1.1404,                0.89692,                 0.7785,                0.88329,                 0.6192,                 1.0125,                0.82141,                 1.1614,              0.0007328,              0.0007328,              0.0007328
