                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3296,                 2.4057,                 1.5912,                0.50524,                0.72003,                 0.6872,                0.37388,                 1.4328,                 2.4189,                 1.8537,             0.00047432,             0.00047432,             0.00047432
                      2,                 1.2828,                 1.6586,                 1.4983,                0.80757,                0.85792,                0.91569,                0.60447,                 1.1537,                 1.0371,                  1.552,             0.00094125,             0.00094125,             0.00094125
                      3,                  1.296,                 1.4331,                 1.4793,                0.82622,                0.74197,                0.86584,                0.60213,                   1.06,                0.99213,                 1.4694,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.2743,                 1.3059,                 1.4633,                0.85826,                0.85203,                0.91114,                0.61637,                 1.0693,                0.81428,                 1.5088,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2148,                  1.171,                 1.4147,                0.90521,                0.87516,                0.95718,                0.72766,                0.87802,                0.65272,                 1.2834,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1769,                 1.0922,                 1.3874,                0.95461,                  0.894,                0.96494,                 0.7308,                 0.9176,                0.60467,                 1.3042,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1535,                 1.0427,                 1.3688,                0.82818,                0.86677,                0.95436,                0.73916,                0.86768,                0.70899,                 1.2999,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1338,                0.98859,                 1.3547,                0.96469,                0.95978,                0.98447,                0.76358,                0.84058,                0.50394,                 1.2488,                0.00133,                0.00133,                0.00133
                      9,                 1.1152,                0.97337,                 1.3418,                0.90598,                0.94819,                0.96985,                0.75375,                0.86206,                 0.5392,                 1.2931,              0.0013158,              0.0013158,              0.0013158
                     10,                    1.1,                0.91801,                 1.3246,                0.90176,                0.95713,                0.97769,                0.77858,                0.80555,                0.50598,                 1.2569,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0717,                0.90606,                 1.3185,                0.94842,                0.94264,                0.97258,                0.77932,                0.77881,                0.48573,                 1.2364,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0568,                0.89241,                 1.2984,                0.92202,                 0.9572,                0.97146,                 0.7804,                0.80014,                0.49456,                 1.2257,              0.0012734,              0.0012734,              0.0012734
